m/z,feature importance
433.33154296875,0.065580934
560.310791015625,0.06544034
339.29083251953125,0.06531915
797.5899658203125,0.06523189
627.53271484375,0.06505646
651.5316162109375,0.06397997
860.5421142578125,0.06364106
701.4093627929688,0.062684946
811.46435546875,0.06258277
531.4071044921875,0.06233729
874.4915161132812,0.062299743
415.2823791503906,0.061802134
584.3046875,0.06108967
573.4851684570312,0.06091022
823.663818359375,0.060546093
329.02630615234375,0.060541477
402.1379699707031,0.060293116
889.7008056640625,0.060258087
646.6118774414062,0.060239926
747.4922485351562,0.06018922
476.3595886230469,0.05987047
794.5101318359375,0.05969634
334.26104736328125,0.059512366
337.2759094238281,0.059310175
735.4328002929688,0.05918909
535.471923828125,0.05871578
481.2093811035156,0.057919864
880.5462036132812,0.05728453
913.459716796875,0.057027373
400.1280517578125,0.05697458
347.04547119140625,0.05688418
497.2786560058594,0.056283113
766.5413818359375,0.055746045
721.4784545898438,0.055103872
463.2201843261719,0.054897964
311.2671203613281,0.053680345
548.3113403320312,0.052249737
549.3562622070312,0.052155837
350.1103515625,0.051987875
322.1416015625,0.05193859
830.5634765625,0.051492877
871.4716186523438,0.050359484
518.49267578125,0.04967598
363.16473388671875,0.049601607
345.0005798339844,0.049501352
767.496337890625,0.049491502
424.2569580078125,0.04884447
737.5077514648438,0.04869538
403.2029113769531,0.048571162
709.4739990234375,0.048266124
419.252197265625,0.047786467
307.05230712890625,0.04758512
359.0899353027344,0.04740252
931.5289306640625,0.04740076
644.596923828125,0.045780774
941.4884643554688,0.045595612
903.53515625,0.04509335
538.5217895507812,0.044728156
753.4819946289062,0.044425987
725.4483032226562,0.04417726
314.1069641113281,0.04407619
781.61572265625,0.044020567
458.13043212890625,0.043598887
804.6096801757812,0.043359403
423.1720275878906,0.04327249
832.5233764648438,0.042656206
650.4367065429688,0.04242819
647.4218139648438,0.04238559
564.2905883789062,0.041546233
352.2752380371094,0.040989473
887.4459228515625,0.040051147
801.684814453125,0.03987834
413.3024597167969,0.039578836
764.521484375,0.039444093
370.1744384765625,0.038914908
352.1202392578125,0.03855414
702.5443115234375,0.03853839
471.2848205566406,0.03830127
627.4677124023438,0.038269408
387.24365234375,0.037290946
416.15234375,0.035531778
782.565673828125,0.035345763
376.1241455078125,0.033769004
346.0805358886719,0.03359223
769.2262573242188,0.03167968
828.5535888671875,0.031632297
896.7155151367188,0.031465627
424.3619689941406,0.030379012
406.16778564453125,0.030167487
614.17333984375,0.028740402
534.366943359375,0.02775359
510.3580627441406,0.026271824
833.7533569335938,0.02618653
620.39306640625,0.025137506
551.211181640625,0.02507302
565.5155639648438,0.024212094
506.3582458496094,0.02410923
583.3847045898438,0.023882184
367.1445617675781,0.023710735
778.4758911132812,0.023434984
380.14898681640625,0.020967593
374.1092529296875,0.02081318
630.3776245117188,0.01986943
